sales_date,stock_code,market_id,net_sales_qty,forecast_net_sales_qty
2011-11-08,23256,United Kingdom,11,8.895575668879303
2011-11-08,23254,United Kingdom,11,4.965330907885156
2011-11-08,23254,France,4,6.242497623933543
2011-11-08,23263,United Kingdom,48,64.61272481462679
2011-11-08,23264,United Kingdom,12,76.25854243135053
2011-11-08,23247,United Kingdom,18,20.47386858151876
2011-11-08,23247,EIRE,-1,10.319029113361882
2011-11-08,23256,France,4,7.6202710940095395
2011-11-08,23243,United Kingdom,13,13.6086657628124
2011-11-08,23245,Germany,-8,18.413306222819948
2011-11-08,23245,France,4,4.514475588536048
2011-11-08,23243,Germany,-1,4.645566482376185
2011-11-08,23242,United Kingdom,20,9.67119199363829
2011-11-08,23235,United Kingdom,-6,5.20078030443307
2011-11-08,23239,United Kingdom,6,5.916013808957156
2011-11-08,23240,Germany,-3,6.242497623933543
2011-11-08,23265,United Kingdom,44,18.129936656645114
2011-11-08,23241,United Kingdom,23,10.395819859664869
2011-11-08,23240,United Kingdom,1,16.989267576318593
2011-11-08,23245,United Kingdom,22,26.885052002741325
2011-11-08,23266,United Kingdom,11,32.59022396744521
2011-11-08,23285,United Kingdom,12,11.184097842213903
2011-11-08,23267,United Kingdom,7,19.77062189184364
2011-11-08,23290,United Kingdom,1,3.8525695318473026
2011-11-08,23290,France,8,9.560163173935315
2011-11-08,23291,France,8,9.137467302398703
2011-11-08,23291,Germany,-1,9.560163173935315
2011-11-08,23234,United Kingdom,11,19.521226602719274
2011-11-08,23289,United Kingdom,1,3.3896648232782693
2011-11-08,23289,Germany,-1,9.137467302398703
2011-11-08,23289,France,8,9.137467302398703
2011-11-08,23288,United Kingdom,7,9.275159431281319
2011-11-08,23287,United Kingdom,4,4.576100285885304
2011-11-08,23267,France,12,16.023248024972553
2011-11-08,23286,United Kingdom,19,44.26459640096754
2011-11-08,23283,United Kingdom,3,8.139763823270087
2011-11-08,23281,United Kingdom,12,7.629752243383478
2011-11-08,23280,United Kingdom,25,7.908802303830422
2011-11-08,23275,United Kingdom,26,50.62728149743141
2011-11-08,23275,Spain,24,16.261206858730784
2011-11-08,23274,United Kingdom,25,18.594283144613836
2011-11-08,23273,United Kingdom,26,17.51738535504106
2011-11-08,23272,United Kingdom,1,3.912621087723671
2011-11-08,23271,United Kingdom,27,32.69888883581389
2011-11-08,23269,United Kingdom,1,4.921182573489835
2011-11-08,23284,United Kingdom,10,37.03410168212592
2011-11-08,23229,United Kingdom,19,18.102451378752928
2011-11-08,20724,France,20,12.662468393791828
2011-11-08,23226,United Kingdom,25,14.018365619143935
2011-11-08,20727,United Kingdom,51,34.477010125748706
2011-11-08,20726,United Kingdom,29,13.29294490070277
2011-11-08,20725,United Kingdom,61,51.38813020498524
2011-11-08,20724,United Kingdom,102,33.79645290910283
2011-11-08,20723,United Kingdom,44,14.78627027621801
2011-11-08,20719,United Kingdom,39,19.167192760647858
2011-11-08,20719,France,20,12.35260160008186
2011-11-08,20719,Belgium,10,12.662468393791828
2011-11-08,20718,United Kingdom,29,28.160880014599226
2011-11-08,20717,United Kingdom,37,13.843754368603594
2011-11-08,20713,United Kingdom,22,48.50351832527941
2011-11-08,20712,United Kingdom,32,33.07513342793274
2011-11-08,20712,Germany,-2,11.885664826277749
2011-11-08,20711,United Kingdom,105,15.190079736937086
2011-11-08,20686,United Kingdom,1,5.659936716093269
2011-11-08,20685,United Kingdom,6,15.30170364971113
2011-11-08,20682,United Kingdom,2,2.5464689675597727
2011-11-08,23291,United Kingdom,2,9.661558725267868
2011-11-08,20679,United Kingdom,2,1.8412214592718075
2011-11-08,20676,United Kingdom,1,3.3352112040651996
2011-11-08,20668,United Kingdom,120,180.36291075666648
2011-11-08,20728,United Kingdom,49,25.03688824161719
2011-11-08,20733,United Kingdom,1,4.394900009665962
2011-11-08,20748,United Kingdom,1,3.307994913413045
2011-11-08,20749,Germany,-1,3.307994913413045
